"file","caption","category","png_time","StartTime"
"bio1_sizeatage.png","Length at age in the beginning of the year (or season) in the ending year of the model. Shaded area indicates 95% distribution of length at age around estimated growth curve.","Bio",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"bio2_sizeatage_plus_CV_and_SD.png","Length at age (top-left panel) with CV (thick line) and SD (thin line) of length at age shown in top-right and lower-left panels","Bio",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"bio3_sizeatage_plus_WT_and_MAT.png","Length at age (top-left panel) with weight (thick line) and maturity (thin line) shown in top-right and lower-left panels","Bio",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"bio1B_len_at_age_matrix_1.png","Distribution of length at age for seas: 1 sub_seas: 1 morph: 1","Bio",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"bio1B_len_at_age_matrix_2.png","Distribution of length at age for seas: 1 sub_seas: 1 morph: 2","Bio",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"bio1B_len_at_age_matrix_3.png","Distribution of length at age for seas: 1 sub_seas: 2 morph: 1","Bio",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"bio1B_len_at_age_matrix_4.png","Distribution of length at age for seas: 1 sub_seas: 2 morph: 2","Bio",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"bio5_weightatsize.png","Weight-length relationship","Bio",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"bio6_maturity.png","Maturity at length","Bio",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"bio7_fecundity.png","Fecundity","Bio",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"bio8_fecundity_wt.png","Fecundity as a function of weight","Bio",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"bio9_fecundity_len.png","Fecundity as a function of length","Bio",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"bio10_spawningoutput_len.png","Spawning output at length. This is the product of maturity and fecundity unless maturity is age-based, in which case only fecundity is represented.","Bio",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"bio11_spawningoutput_age.png","Spawning output at age. This is the product of maturity and fecundity. When these processes are length-based they are converted into the age dimension using the matrix of length at age.","Bio",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel01_multiple_fleets_length1.png","Selectivity at length for multiple fleets.","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel02_multiple_fleets_age1.png","Selectivity at age for multiple fleets.","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel02_multiple_fleets_age2.png","Selectivity at age derived from selectivity at length for multiple fleets.","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel03_len_timevary_surf_flt1sex1.png","Surface plot of Female time-varying selectivity for TrawlSouth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel04_len_timevary_contour_flt1sex1.png","Countour plot of Female time-varying selectivity for TrawlSouth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel09_len_flt1sex1.png","Female ending year selectivity for TrawlSouth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel03_len_timevary_surf_flt1sex2.png","Surface plot of Male time-varying selectivity for TrawlSouth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel04_len_timevary_contour_flt1sex2.png","Countour plot of Male time-varying selectivity for TrawlSouth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel09_len_flt1sex2.png","Male ending year selectivity for TrawlSouth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel09_len_flt2sex1.png","Female ending year selectivity for HL","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel09_len_flt2sex2.png","Male ending year selectivity for HL","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel09_len_flt3sex1.png","Female ending year selectivity for Setnet","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel09_len_flt3sex2.png","Male ending year selectivity for Setnet","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel03_len_timevary_surf_flt4sex1.png","Surface plot of Female time-varying selectivity for RecSouth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel04_len_timevary_contour_flt4sex1.png","Countour plot of Female time-varying selectivity for RecSouth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel09_len_flt4sex1.png","Female ending year selectivity for RecSouth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel03_len_timevary_surf_flt4sex2.png","Surface plot of Male time-varying selectivity for RecSouth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel04_len_timevary_contour_flt4sex2.png","Countour plot of Male time-varying selectivity for RecSouth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel09_len_flt4sex2.png","Male ending year selectivity for RecSouth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel03_len_timevary_surf_flt5sex1.png","Surface plot of Female time-varying selectivity for RecCentral","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel04_len_timevary_contour_flt5sex1.png","Countour plot of Female time-varying selectivity for RecCentral","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel09_len_flt5sex1.png","Female ending year selectivity for RecCentral","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel03_len_timevary_surf_flt5sex2.png","Surface plot of Male time-varying selectivity for RecCentral","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel04_len_timevary_contour_flt5sex2.png","Countour plot of Male time-varying selectivity for RecCentral","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel09_len_flt5sex2.png","Male ending year selectivity for RecCentral","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel03_len_timevary_surf_flt6sex1.png","Surface plot of Female time-varying selectivity for TrawlNorth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel04_len_timevary_contour_flt6sex1.png","Countour plot of Female time-varying selectivity for TrawlNorth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel09_len_flt6sex1.png","Female ending year selectivity for TrawlNorth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel03_len_timevary_surf_flt6sex2.png","Surface plot of Male time-varying selectivity for TrawlNorth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel04_len_timevary_contour_flt6sex2.png","Countour plot of Male time-varying selectivity for TrawlNorth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel09_len_flt6sex2.png","Male ending year selectivity for TrawlNorth","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
"sel03_len_timevary_surf_flt8sex1.png","Surface plot of Female time-varying selectivity for Triennial","Sel",2018-12-12 16:42:32,"StartTime: Sat Apr 29 08:16:33 2017"
